71,623,889,23
74,617,613,21
78,71,327,27
90,37,659,30
92,619,779,25
97,367,839,25
98,571,479,26
99,771,821,25
107,407,719,30
116,579,433,70
123,155,95,74
128,259,363,74
133,773,187,74
145,597,215,78
146,977,343,76
152,343,391,77
153,815,195,77
177,859,249,124
178,893,547,125
186,861,37,125
550,839,499,2
568,659,621,3
572,251,637,2
573,343,237,2
599,337,293,4
607,157,501,7
610,763,817,7
613,145,743,10
625,623,687,10
626,779,875,11
636,209,237,13
637,747,425,12
642,621,473,14
643,709,841,15
650,169,299,16
652,595,555,14
656,451,655,17
661,839,459,19
663,273,337,18
672,533,421,22
677,249,335,33
682,45,471,28
683,249,799,28
684,719,549,30
690,131,283,33
691,423,531,34
692,969,47,31
696,773,759,33
697,795,669,34
703,269,811,34
704,359,657,35
716,653,397,36
730,483,661,41
731,489,477,38
740,11,519,42
741,279,745,41
750,599,603,44
755,219,655,45
756,847,601,42
765,269,409,46
766,873,561,44
767,1007,803,46
772,385,817,46
779,191,781,47
780,303,807,47
781,333,707,46
782,673,565,46
789,125,449,48
791,671,635,48
798,799,613,49
799,971,633,48
829,157,381,54
831,1003,45,56
869,755,713,59
881,729,803,60
890,781,565,60
894,211,295,63
895,419,469,57
908,365,415,64
920,905,587,65
931,1013,569,67
936,761,369,68
940,239,171,71
944,13,503,70
945,897,509,72
948,465,515,72
949,767,633,72
950,821,823,72
951,865,687,71
952,957,233,73
955,887,813,73
961,965,883,81
962,1015,463,79
967,973,97,83
978,265,475,82
980,925,711,83
985,781,299,86
987,823,533,86
993,565,617,85
1008,791,715,88
1009,855,673,87
1025,521,601,90
1034,889,25,92
1038,225,131,91
1047,165,399,100
1048,259,145,97
1050,599,819,93
1056,455,457,96
1058,703,513,96
1072,447,385,100
1074,595,681,98
1084,853,115,98
1092,637,617,100
1108,931,443,108
1122,577,435,105
1125,277,23,108
1126,497,511,109
1130,665,445,108
1131,721,527,109
1137,605,637,109
1141,637,25,112
1142,743,175,115
1143,915,533,111
1148,879,205,113
1164,321,425,119
1169,633,401,118
1172,505,463,120
1450,881,905,18
1454,59,239,25
1472,715,427,82
1556,511,563,12
1584,73,209,49
1599,41,41,58
1613,615,123,60
1620,53,345,70
1629,91,287,89
1631,665,87,84
1633,493,149,87
1636,687,203,93
1637,973,261,88
1640,579,77,93
1645,381,259,98
1649,599,241,101
1652,1015,291,102
1654,699,107,102
1659,289,283,108
1666,131,231,116
1673,323,323,118
